hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
ROXs 42 B,3850.87,-0.79156,,0.903143,,,,2.1571241955048692,24.1096799,2,13.1164,,1,0,0,False
Kepler-34,5913.0,0.173,1.0479,1.1618,4.3284,-0.07,,3.2554703053162113,6.1791316,2,14.8297,,1,1,1,False
Kepler-95,5699.0,0.2745227031733695,1.08,1.41,4.171,0.3,5.63,2.64899975793519,26.7129478,1,12.3044,,1,0,0,False
Kepler-329,4221.0,-1.049072687402679,0.57,0.56,4.71,-0.44,3.47,2.643175231634899,42.2606182,1,15.4312,,2,0,0,False
Kepler-412,5750.0,0.21071832253458272,1.167,1.287,4.3,0.27,5.1,3.0359257913303157,7.217735,1,14.2486,G,1,0,0,False
Kepler-300,5965.0,0.1381170123091805,1.07,1.1,4.38,0.04,3.63,3.0407802931925323,2.557066,1,14.1797,,2,0,0,False
CoRoT-29,5260.0,-0.25468215453910653,0.97,0.9,4.3,0.2,4.5,2.906608141158558,14.8548187,1,15.2394,K,1,0,0,False
Kepler-438,3748.0,-1.357,0.544,0.52,4.74,0.16,4.4,,30.5623775,1,14.4852,,1,1,1,False
Kepler-427,5800.0,0.29,0.96,1.35,4.14,-0.19,7.0,3.007662446537276,7.2368093,1,14.1964,G,1,0,0,False
Kepler-446,3446.0,-1.7382818643510536,0.4,0.38,4.87,0.1,3.72,1.98380213401977,27.0539679,1,16.3101,,3,0,0,False
HD 106906,6473.79,0.85344,1.32,2.12351,3.90453,,,2.0129594845817755,41.0824492,1,7.68639,,1,0,0,False
WISEP J121756.91+162640.2 A,575.0,-6.090355986632003,0.029,0.091,5.0,,6.0,,,1,,T,1,0,0,False
Kepler-303,4070.0,-1.1935921609359597,0.52,0.51,4.75,-0.53,3.31,2.3216771223833743,76.8273427,1,14.396,,2,0,0,False
HATS-8,5679.0,0.041636975206780544,1.056,1.086,4.386,0.21,5.1,2.900168782871022,9.4478082,1,14.337,,1,0,0,False
Kepler-415,4586.0,-0.7111778684285189,0.73,0.7,4.62,0.01,4.9,2.724674745640862,21.4687178,1,15.841,,2,0,0,False
Kepler-267,3973.0,-1.185848370165324,0.56,0.54,4.72,-0.18,3.31,2.4232344018555785,37.2324164,1,15.4693,,3,0,0,False
Kepler-433,6360.0,0.88,1.46,2.26,3.892,-0.01,2.67,3.2737672706664456,3.1546635,1,14.4163,,1,0,0,False
Kepler-445,3369.0,-1.6906075253124306,0.43,0.42,4.83,0.48,6.61,2.104490525563769,138.5399643,1,16.7157,,3,0,0,False
Kepler-400,5980.0,0.1581306312612941,1.08,1.12,4.37,0.04,3.63,2.9273549622524158,4.907312,1,13.8395,,2,0,0,False
KOI-1257,5520.0,0.026803047850922468,0.99,1.13,4.32,0.27,9.3,,16.3901937,2,14.6419,G,1,0,0,False
CoRoT-23,5900.0,0.4499496485995636,1.14,1.61,4.3,0.05,7.2,3.025703103959157,8.6628393,1,15.0681,G,1,0,0,False
Kepler-120,4641.0,-0.71564605094412,0.72,0.68,4.63,-0.12,3.63,2.5895363225930703,11.8122105,1,14.7188,,2,0,0,False
Kepler-163,5705.0,-0.05754508893664207,0.98,0.96,4.47,0.02,4.27,2.8387320042689006,10.6877873,1,14.3796,,2,0,0,False
Kepler-441,4340.0,-1.051,0.572,0.55,4.715,-0.57,1.9,2.4281396555069734,34.898213,1,15.135,,1,0,0,False
Kepler-395,3931.0,-1.194,0.578,0.549,4.721,-0.02,1.6,2.62467598009117,14.7384612,1,15.9585,,2,0,0,False
Kepler-369,3711.0,-1.4066638578864057,0.5,0.48,4.78,-0.09,4.17,,21.3831901,1,15.6683,,2,0,0,False
GJ 504,6234.0,0.36,1.29,1.26,4.39,0.28,1.4,1.2437794386510077,386.8630302,1,5.04156,G,1,0,0,False
2MASS J01225093-2439505,3309.0,-1.83849,0.353185,0.36645,4.85804,,,1.5292776057487174,172.4426671,1,12.9025,,1,0,0,False
Kepler-317,5805.0,0.0504773444055343,1.04,1.05,4.42,0.13,3.72,2.9733975868161724,2.2942288,1,15.4571,,2,0,0,False
Kepler-61,4217.0,-0.9623123669767509,0.65,0.62,4.67,-0.05,3.63,2.525147210676504,10.721519,1,15.0426,,1,1,1,False
Kepler-54,3760.0,-1.4208431069589202,0.48,0.46,4.79,-0.27,4.17,2.434091236848817,18.4991328,1,15.8133,,3,0,0,False
Kepler-14,6395.0,0.799,1.512,2.048,3.994,0.12,2.2,,,2,,,1,0,0,False
Kepler-340,7852.93,0.86749,1.87,1.46668,4.37724,-0.08,,2.907820737565622,1.2517704,1,12.3031,,2,0,0,False
Kepler-442,4402.0,-0.932,0.609,0.598,4.673,-0.37,2.9,2.563439552515439,8.0179552,1,14.9304,,1,1,1,False
Kepler-452,5757.0,0.08432072536113824,1.037,1.11,4.32,0.21,6.0,2.74172423765375,13.4422907,1,13.4048,G,1,1,1,False
PH1,6407.0,0.6576069322151126,1.528,1.734,4.14,0.21,2.0,3.014167583607013,1.0948906,4,13.6988,F,1,0,0,False
Kepler-41,5651.75,0.26161,1.0,1.40959,4.13988,0.3148,,3.038651948122732,4.2685481,1,14.413,,1,0,0,False
Kepler-283,4251.0,-0.9768432293969341,0.63,0.6,4.68,-0.17,3.09,2.670333074403256,16.7364842,1,15.8753,,2,1,1,False
Kepler-453,5527.0,-0.23586228889203678,0.944,0.833,4.571,0.09,2.49,2.646252726272995,8.4142757,2,13.5227,,1,1,1,False
Kepler-266,5516.0,-0.19164777571712668,0.91,0.88,4.51,-0.05,4.79,3.1369709275635924,2.0111211,1,15.5772,,2,0,0,False
Kepler-39,6347.0,0.46774053198922616,1.21,1.42,4.21,-0.06,3.02,3.02424341324167,4.5232073,1,14.2622,,1,0,0,False
Kepler-35,5606.0,-0.027,0.8877,1.0284,4.3623,-0.34,,3.2598732854362904,8.5702979,2,15.7352,,1,0,0,False
Kepler-108,5824.0,0.662340225782596,1.36,2.11,3.92,0.17,3.89,2.529856226366968,,2,13.0843,,2,0,0,False
Kepler-91,4550.0,1.225,1.31,6.3,2.953,0.11,4.86,3.1121657935862808,4.2603814,1,12.4762,K,1,0,0,False
Kepler-353,3985.0,-1.1490207930917873,0.58,0.56,4.71,-0.12,3.39,2.5851154127502465,23.8115334,2,15.7248,,2,0,0,False
Kepler-232,5654.0,-0.08223972284101402,0.97,0.95,4.47,0.03,4.47,3.130053799607001,1.2834551,1,15.3201,,2,0,0,False
Kepler-16,4018.2,-0.85777,0.63,0.768606,4.466,-0.124,,1.8755543419075413,50.588521,2,11.7472,,1,1,1,False
CoRoT-28,5150.0,0.3009587707498395,1.01,1.78,3.6,0.15,12.0,2.8843325116667686,8.9097951,1,13.4119,G,1,0,0,False
CoRoT-21,6200.0,0.7025258306853388,1.29,1.95,3.7,0.0,4.1,,11.7168394,1,15.8558,F,1,0,0,False
KIC 10525077,6091.0,0.131537611330657,1.058,1.047,4.424,-0.04,,3.1646948024013453,4.2994345,1,15.3043,,1,1,1,False
kap And,10900.0,1.83,2.6,,3.78,-0.36,0.03,1.6991237173770093,83.3928097,1,4.13478,B,1,0,0,False
WTS-1,6250.0,0.2578056000508115,1.2,1.15,4.4,-0.5,2.55,3.3703298589881903,9.2360673,1,16.4299,F,1,0,0,False
CoRoT-16,5650.0,0.11217756403010307,1.098,1.19,4.36,0.19,6.73,2.864753672366854,8.0976105,1,15.6507,G,1,0,0,False
KOI-55,27730.0,1.36,0.496,0.203,5.52,,,3.090265108836336,7.8384452,1,14.9062,B,2,0,0,False
CoRoT-26,5590.0,0.4482431434727669,1.09,1.79,3.99,0.01,8.6,3.0191910907101467,10.1140368,1,15.4682,G,1,0,0,False
Kepler-22,5594.0,-0.19024,0.989,0.855243,4.56909,-0.27,,2.289236558440751,77.618339,1,11.6444,,1,1,1,False
POTS-1,4400.0,-0.934544791935686,0.695,0.588,4.63,-0.03,,2.873877792300589,18.3158678,1,17.2604,K,1,0,0,False
Kepler-76,6371.0,0.4557498708036432,1.24,1.39,4.24,-0.01,2.63,2.91537872682655,2.5738644,1,13.2755,,1,0,0,False
Kepler-440,4134.0,-1.102,0.575,0.559,4.706,-0.3,1.3,2.478609778601228,32.1525702,1,15.1058,,1,1,1,False
HATS-61,5542.0,0.36922,1.076,1.664,4.028,0.247,8.9,2.8323562441383867,10.6687361,1,13.0682,,1,0,0,False
HATS-63,5627.0,0.01199,0.931,1.07,4.349,0.081,10.3,2.7946497441937628,17.7745928,1,13.7213,,1,0,0,False
HD 108236,5660.0,-0.14997,0.869,0.877,4.49,-0.28,6.7,1.8102177275286786,86.2990183,1,9.08745,,5,0,0,False
PDS 70,3972.0,-0.45593,0.76,1.26,4.120072502045666,,0.0054,2.05332434594984,38.0431872,1,11.5848,K,2,0,0,True
HD 202772 A,6272.0,0.97128,1.72,2.591,3.848,0.3,1.7,2.2081671483739815,62.0697438,2,8.22688,,1,0,0,False
K2-354,3669.0,-1.56335158956945,0.43,0.41,4.86,-0.04,,1.9624735159608007,16.6789855,1,14.3753,,1,0,0,False
K2-268,5035.99,-0.42942,0.839,0.801255,4.55429,0.0848,,2.515586425751736,8.1952795,1,13.5627,,5,0,0,False
HAT-P-63,5400.0,-0.1463,0.925,0.9661,4.435,0.251,9.0,2.605798331331649,14.8739392,1,13.5106,,1,0,0,False
K2-331,5994.0,0.11436853493533178,1.1,1.06,4.43,0.08,,2.325166609792962,20.9050377,1,11.1945,,2,0,0,False
K2-332,3266.0,-2.06542,0.264883,0.289676,4.9373,,,2.0906177580062772,18.7823576,1,16.4791,,1,1,1,False
K2-333,5790.68,0.16523,1.04,1.20174,4.29548,0.1182,,2.536545817548436,12.4283066,1,11.9866,,1,0,0,False
K2-114,4920.0,-0.44491,0.86,0.824,4.542,0.41,7.2,2.677386099800138,13.3759285,1,14.2751,,1,0,0,False
K2-334,6315.68,0.51362,1.24,1.50876,4.17425,0.1463,,2.570336250589558,13.2781203,1,11.3479,,1,0,0,False
K2-335,6272.0,0.39509,1.22,1.33471,4.27365,,,2.7466287507647436,11.1451596,1,12.4741,,1,0,0,False
K2-337,5940.0,0.24964,1.08,1.25863,4.27169,,,2.624937684590342,24.9723271,1,12.2299,,1,0,0,False
K2-338,4504.0,-0.83644,0.708,0.626953,4.69363,,,2.1957640871153754,59.0822143,1,13.0455,,1,0,0,False
K2-341,5857.31,0.12566,1.058,1.12225,4.36238,0.056,,2.624702775987023,15.0962096,1,12.5585,,1,0,0,False
K2-342,5893.31,0.09264,1.07,1.06723,4.41094,-0.0378,,2.3188080956754926,86.9020459,1,11.0702,,1,0,0,False
HR 858,6354.0,0.36361,1.204,1.258,4.3,0.025,2.0,1.5046611219944936,162.4083969,2,6.25276,,3,0,0,False
K2-343,3630.0,-1.43852,0.480591,0.482593,4.75268,,,2.220550006303196,11.4245832,1,15.1312,,2,0,0,False
K2-344,4374.0,-1.1032028751692124,0.51,0.49,4.76,-0.95,,1.8760393504672788,29.7043118,1,12.7423,,1,0,0,False
K2-345,3675.0,-1.32045,0.535622,0.539401,4.7031,,,2.210607418195075,59.5287316,1,14.6951,,1,0,0,False
K2-347,4391.0,-0.89434,0.687,0.617099,4.69431,,,2.505605748288523,52.5481274,1,14.8131,,1,0,0,False
K2-348,5077.0,-0.36584364498570693,0.83,0.85,4.5,0.13,,2.3050416629767714,34.6136033,1,12.3271,,2,0,0,False
K2-349,4385.0,-1.098839599167448,0.54,0.49,4.78,-0.66,,2.656641449237465,30.6424703,1,14.1826,,1,0,0,False
K2-351,5739.0,0.02389,1.03,1.03974,4.41706,,,2.8418185535901426,16.7482938,1,13.9854,,1,0,0,False
EPIC 212587672,6055.0,0.03848,1.13,0.94987,4.53582,,,2.5052449698485026,28.5573676,1,12.2038,,2,0,0,False
K2-352,5756.75,-0.06326,1.03,0.934695,4.50956,0.053,,2.245638496280662,21.492825,1,11.1147,,3,0,0,False
EPIC 212297394,5008.0,-0.46654,0.831,0.776343,4.57756,,,2.6215864858845896,23.1565785,1,14.1864,,2,0,0,False
WASP-156,4987.0,-0.41794,0.8712,0.8268,4.541,0.305,5.6,2.086594713341767,84.3131056,1,11.3227,,1,0,0,False
K2-222,6058.0,0.15705992183588247,1.0,1.09,4.37,-0.21,,2.0056994674621613,86.9642815,1,9.36072,,1,0,0,False
K2-105,5411.15,-0.18892,0.941,0.915405,4.48843,0.3277,,2.296641062120082,8.5017779,1,11.7124,,1,0,0,False
Kepler-1705,6312.0,0.35411,1.139,1.259,4.298,-0.2,2.59,3.213116480128804,2.9896925,1,15.4974,,2,0,0,False
WASP-166,6050.0,0.2526310099266594,1.19,1.22,4.34,0.19,2.1,2.0575634126891855,56.1556887,1,9.257,F,1,0,0,False
K2-271,5545.28,-0.04982,0.98,1.02304,4.4095,-0.422,,2.75162855501178,35.900347,1,13.6582,,1,0,0,False
K2-275,4783.55,-0.59332,0.772,0.735345,4.5927,-0.023,,2.0914488764705133,16.3822333,1,11.8139,,2,0,0,False
WASP-107,4425.0,-0.87943,0.683,0.67,4.633,0.02,3.4,1.8111820865664097,97.1108843,1,11.174,,2,0,0,False
WASP-176,5941.0,0.6171895271630745,1.345,1.925,3.995,0.164,4.81,2.7546693502843356,7.9298352,1,11.9392,F,1,0,0,False
NGTS-17,5650.0,0.21334645576901032,1.025,1.337,4.0,0.15,9.22,3.017150248999078,11.8138267,1,14.2136,G,1,0,0,False
NGTS-1,3902.0,-1.17166,0.561044,0.567866,4.67857,,,2.3386974800907345,51.9692576,1,14.8661,,1,0,0,False
Qatar-6,5052.0,-0.51428,0.822,0.722,4.636,-0.025,1.02,2.0036672897815397,54.3234695,2,11.1249,K,1,0,0,False
NGTS-15,5600.0,-0.0952612925997208,0.995,0.954,4.4,0.15,3.28,2.895690444086642,5.8370032,1,14.4299,G,1,0,0,False
K2-266,4285.0,-0.82333,0.686,0.703,4.581,-0.12,,1.8896299610853398,89.2844676,2,11.3527,,4,0,0,False
NGTS-3 A,5457.0,-0.12977,0.95,0.963518,4.44807,,,2.8715565908223293,12.4519372,2,14.4878,,1,0,0,False
TOI-1266,3563.0,-1.58021,0.437,0.4232,4.826,-0.109,4.6,1.5564448295226392,152.7729383,1,12.1222,M,3,1,1,False
HAT-P-64,6457.0,0.66839,1.298,1.735,4.072,-0.113,2.88,2.814178982441562,8.6899889,1,12.6221,,1,0,0,False
NGTS-8,5241.0,-0.18700135983734947,0.89,0.98,4.41,0.24,12.48,2.6324329953102934,23.6701599,1,13.4954,K,1,0,0,False
NGTS-10,4600.0,-0.7096132671103976,0.696,0.697,4.595,-0.02,10.4,,9.8472736,1,14.2604,K,1,0,0,False
KELT-9,10170.0,1.72428,2.52,2.362,4.093,-0.03,0.3,2.310597735804306,27.2235097,2,7.57675,B,1,0,0,False
NGTS-13,5819.0,0.5172,1.3,1.788,4.04,0.25,4.23,2.8113034869609033,21.1492689,1,12.5691,,1,0,0,False
TRAPPIST-1,2550.0,-3.27984,0.08,0.117,5.206718263499621,0.04,0.5,,1026.5792712,1,15.6451,,7,4,1,True
HD 213885,5978.0,0.13862,1.068,1.1011,4.3827,-0.04,3.8,1.6820394243254364,137.3844076,1,7.80173,G,2,0,0,False
EPIC 201595106,5679.0,-0.04915,0.958,0.98,4.435,0.01,6.0,2.3656751404559175,25.0015387,1,11.6477,,2,0,0,False
HD 15337,5131.0,-0.32606,0.851,0.839,4.37,0.03,7.5,1.651428246146302,224.0446769,1,8.85598,,2,0,0,False
Teegarden's Star,2904.0,-3.13668,0.089,0.107,5.330622451274494,-0.19,8.0,0.5832872113593467,5123.3319204,1,12.2746,M,3,2,1,True
K2-147,3672.0,-1.29243,0.583,0.554,4.72,0.19,,1.956885576930006,150.8428345,1,13.1913,,1,0,0,False
K2-211,5117.0,-0.383,0.851,0.818,4.543,0.134,6.5,2.4350428565782205,49.7001927,1,12.9329,,1,0,0,False
K2-260,6860.0,0.78817,1.637,1.755,4.161,0.334,0.65,2.822059492173577,6.0818641,1,12.4667,,1,0,0,False
K2-181,5520.0,-0.04431,1.022,1.04,4.413,0.385,5.9,2.557400118874411,37.3382669,1,12.5618,,1,0,0,False
K2-204,5783.0,0.19866,1.076,1.253,4.273,0.21,6.5,2.761352656181038,30.6142833,1,12.8893,,1,0,0,False
K2-167,6310.0,0.50651,1.084,1.499,4.122,-0.456,5.3,1.9079453006276563,136.1222528,1,8.103581,,1,0,0,False
TOI-1231,3553.0,-1.48678,0.485,0.476,4.767,0.041,,1.4412661267332427,372.4055372,1,11.36,M,1,1,1,False
LHS 1815,3643.0,-1.38722,0.502,0.501,4.77,-0.12,,1.4748337472471122,762.7611976,1,11.2362,M,1,0,0,False
TOI-150,6255.0,0.49651,1.351,1.526,4.13,0.28,2.346,2.5266842493511783,31.1174722,1,11.3408,F,1,0,0,False
TOI-1062,5328.0,-0.29229471325997075,0.94,0.84,4.55,0.14,2.5,1.9147307281688593,112.1401754,1,10.0008,G,2,0,0,False
TOI-431,4891.0,-0.56509,0.8,0.726632,4.61853,0.02,,1.5127990903013624,151.6996086,1,8.79171,,3,0,0,False
HATS-22,4724.49,-0.54908,0.757,0.793235,4.51836,0.0242,,2.360816750849879,26.8180485,1,13.1225,,1,0,0,False
LHS 1140,3096.0,-2.42022,0.1844,0.2159,5.041,-0.15,5.0,1.1756886262537605,675.8787442,1,12.6706,M,2,1,1,False
TOI-421,5291.0,-0.2779233198697922,0.833,0.866,4.48,-0.044,10.9,1.8738835986560005,61.7961187,2,9.77776,G,2,0,0,False
TOI-1685,3434.0,-1.51856,0.495,0.492,4.85,-0.13,1.3,1.5753645298751322,94.7828028,1,12.2956,M,1,0,0,False
HD 158259,5801.89,0.21275,1.04,1.26442,4.25132,,,1.4321640583809436,103.6993176,1,6.30694,,5,0,0,False
Kepler-1793,5300.76,-0.23389,0.91,0.905795,4.48305,0.191,,3.0755031647827247,4.7753753,1,15.9003,,1,0,0,False
Kepler-1850,4401.0,-0.9445524110002707,0.611,0.581,4.7,,13.8,2.3982855695646363,21.824292,1,14.0882,,1,0,0,False
Kepler-1907,4866.0,-0.6527784410473049,0.673,0.665,4.622371773617768,-0.47,8.91,2.4655479114732133,33.2813811,1,13.7309,,2,0,0,True
Kepler-1937,6450.0,0.36527112032142944,1.181,1.222,4.336,-0.06,,2.9566816898979624,1.5094273,1,14.0864,,1,0,0,False
Kepler-1773,6136.0,0.40462,1.16,1.40991,4.20414,,,2.8333097027554377,2.4777725,1,12.9455,,1,0,0,False
Kepler-1488,5757.09,0.58748,1.03,1.97691,3.85893,0.0432,,2.957044302670872,9.3339465,1,13.0767,,2,0,0,False
KOI-1783,6215.0,0.0884782574316289,1.027,0.957,4.488,-0.3,,2.9373824673136526,18.0179028,1,13.9061,,2,0,0,False
Kepler-1890,5981.61,0.26655,1.1,1.26559,4.27487,-0.1607,,2.723944696249453,11.2697726,1,12.779,,1,0,0,False
Kepler-1782,4931.0,-0.5439780200760208,0.794,0.734,4.605,0.0,,2.4854261193977463,24.9230991,1,13.7041,,1,0,0,False
Kepler-1766,5788.86,0.17488,1.039,1.21593,4.28487,-0.2396,,2.7000361903660512,9.6573105,1,12.8705,,1,0,0,False
Kepler-1955,5825.26,0.22965,1.05,1.27893,4.24557,0.2073,,2.6525857125204806,8.3994405,1,12.5298,,1,0,0,False
Kepler-1823,6000.0,0.16857163253251664,1.068,1.126,4.363,0.06,,2.860320634444273,9.2492505,1,13.3209,,1,0,0,False
Kepler-1743,5624.37,0.59938,1.0,2.09988,3.79368,0.1973,,2.7314332292959844,0.9813192,1,11.9354,,1,0,0,False
Kepler-1315,4710.62,-0.62783,0.75,0.728751,4.58797,0.32,,2.6820267804780684,17.6278086,1,14.9517,,2,0,0,False
Kepler-1860,5491.41,-0.18091,0.96,0.897077,4.51468,0.328,,2.6421706042681565,28.1065656,1,13.4381,,1,0,0,False
Kepler-487,5444.0,-0.21447233960718698,0.91,0.88,4.51,0.0,5.62,2.940687280480476,11.4807252,1,15.0647,,3,0,0,False
Kepler-1864,5758.53,0.03004,1.031,1.04004,4.41722,0.0575,,2.475517197096673,10.6454947,1,12.0365,,1,0,0,False
Kepler-1943,5732.29,0.44535,1.02,1.69306,3.98932,0.2167,,3.001971557991861,5.3299636,1,13.7453,,1,0,0,False
Kepler-1929,5686.6,0.5928,1.01,2.03867,3.8237,-0.0426,,2.7060355152874607,10.7330572,1,12.072,,1,0,0,False
Kepler-633,5899.0,0.15739911535110143,1.02,1.15,4.32,-0.05,6.03,2.8328536567527802,11.5738164,1,,,2,0,0,False
TOI-561,5326.0,-0.28233,0.805,0.832,4.5,-0.41,10.0,1.9334822261119597,124.6638566,1,10.0128,,4,0,0,False
LTT 1445 A,3384.0,-2.04591,0.249439,0.275953,4.95336,,,0.8369118513220158,456.5121099,3,10.0469,,2,0,0,False
TOI-2076,5192.0,-0.37779,0.8557,0.796,4.566,0.02,2.7,1.6223083344384588,118.4334656,1,8.91028,,3,0,0,False
Kepler-1882,5579.42,0.23674,0.98,1.40555,4.1336,0.2975,,2.6467672833841123,7.4489617,1,12.4303,,1,0,0,False
KELT-23 A,5899.0,0.03383,0.944,0.996,4.417,-0.105,6.4,2.101269224661556,12.2248073,2,10.182,G,1,0,0,False
Kepler-1843,5491.0,0.3605617500169662,0.932,1.677,3.959,-0.2,,2.8946621416587672,21.2142693,1,12.9086,,1,0,0,False
TOI-1478,5597.0,-0.01278,0.947,1.048,4.374,0.078,9.1,2.1843847617579666,68.4448538,1,10.6624,,1,0,0,False
TOI-677,6295.0,0.36329272703854987,1.181,1.28,4.291,0.0,2.92,2.151712981998522,49.1438276,1,9.66082,F,1,0,0,False
Kepler-1719,5752.63,0.52557,1.03,1.84376,3.9195,0.0918,,2.956843368178073,18.9179764,1,13.3258,,1,0,0,False
V1298 Tau,4941.0,0.03902,1.26,1.43,4.227,,0.0125,2.034223246939785,16.9054651,3,10.0702,,4,0,0,False
Kepler-1665,5049.84,-0.45048,0.842,0.777785,4.58166,-0.013,,2.5257119411118816,32.281662,1,13.5913,,1,0,0,False
Kepler-1715,6033.33,0.41691,1.12,1.47908,4.1473,-0.0447,,2.7181735605042454,11.1955025,1,12.3012,,1,0,0,False
Kepler-1861,5783.31,0.30017,1.04,1.40729,4.15833,0.2667,,2.919070243609695,3.4448571,1,13.6519,,1,0,0,False
Kepler-1947,5992.88,0.11057,1.104,1.05358,4.4357,0.1646,,2.6709607366927544,4.6510521,1,12.877,,1,0,0,False
Kepler-1870,5601.0,-0.0034361288282091147,0.865,1.06,4.33,,13.4,2.6098248336096384,6.7421577,1,13.4199,,1,0,0,False
Kepler-783,5411.49,-0.23092,0.94,0.872088,4.53007,-0.03,,2.7127254440595,12.1501005,1,13.9378,,2,0,0,False
WASP-172,6900.0,0.8703529474117637,1.49,1.91,4.05,-0.1,1.79,2.730871062859475,15.9842834,1,11.0099,F,1,0,0,False
K2-287,5695.0,0.03363231899818332,1.056,1.07,4.398,0.2,4.5,2.1995769264020057,18.4786025,1,11.067,,1,0,0,False
Kepler-1827,5190.0,0.3815178498380785,0.976,1.923,3.8614912491897324,-0.05,10.96,2.836615868643537,16.6589067,1,13.0059,,1,0,0,True
Kepler-1655,6148.0,0.13349973468846202,1.03,1.03,4.36,-0.24,2.56,2.3289094048711885,44.8268376,1,11.0141,G,1,0,0,False
Kepler-1698,4975.03,-0.51767,0.822,0.741698,4.61249,0.08,,2.3470273676647606,14.6246151,1,12.8761,,1,0,0,False
Kepler-1718,5839.24,-0.0399,1.053,0.933238,4.52051,-0.3075,,2.574635385278193,8.007797,1,12.735,,1,0,0,False
Kepler-1700,6299.0,0.2841179954575183,1.249,1.167,4.401,0.21,,2.855880614419858,12.6541815,1,13.6285,,1,0,0,False
Kepler-1816,4906.0,-0.53145,0.803,0.750709,4.59184,-0.23,,2.641298572468804,31.5695411,1,14.4553,,1,0,0,False
Kepler-1090,5321.0,-0.3155094095663896,0.86,0.82,4.55,-0.04,4.37,2.9338768645229125,4.0125301,1,14.9963,,2,1,1,False
Kepler-1863,5828.35,0.40952,1.05,1.57153,4.06661,-0.486,,2.9372901536848945,11.4382566,1,13.4479,,1,0,0,False
Kepler-1775,5910.19,0.24607,1.08,1.26615,4.26652,0.138,,2.8175805729056655,7.4384409,1,13.2765,,1,0,0,False
Kepler-1834,4899.0,-0.6077242974589935,0.714,0.691,4.61,,12.2,2.699312961526462,7.1740785,1,14.9047,,2,0,0,False
Kepler-1814,4922.0,-0.4477440421410381,0.79,0.823,4.505,0.2,,2.861143549205534,2.6393421,1,15.607,,2,0,0,False
Kepler-1667,5941.54,0.12316,1.09,1.08751,4.40263,-0.2603,,2.797142152235121,22.0936552,1,13.4461,,1,0,0,False
Kepler-1709,5789.91,0.11547,1.039,1.13513,4.34459,0.0462,,2.4376649635018466,31.8710354,1,11.6176,,1,0,0,False
Kepler-1936,6397.79,0.45627,1.28,1.37635,4.26782,0.082,,2.9400660194999815,1.2193342,1,13.3235,,1,0,0,False
Kepler-1809,4922.21,-0.47061,0.808,0.799884,4.53942,0.03,,2.612362068541122,42.4441212,1,14.1375,,1,0,0,False
Kepler-1731,4923.57,-0.59961,0.808,0.689105,4.66891,0.0787,,2.2303160580389685,35.9023141,1,12.4974,,1,0,0,False
Kepler-1514,6145.0,0.32838,1.196,1.289,4.295,0.119,2.9,2.5991098200494847,10.0411048,1,11.8292,,2,0,0,False
Kepler-511,6023.54,0.49754,1.12,1.62825,4.06384,-0.341,,2.814246929635578,25.2926342,1,12.5832,,2,0,0,False
Kepler-1675,5853.19,0.12938,1.06,1.12865,4.35826,0.2537,,2.8136590344803785,3.9235881,1,13.5535,,1,0,0,False
Kepler-1879,5854.91,0.38444,1.06,1.51298,4.10371,-0.044,,2.797385968631815,11.3627705,1,12.7877,,1,0,0,False
Kepler-598,5245.0,-0.25753,0.9,0.900316,4.48352,0.03,,2.833201953274481,7.2346304,1,14.7207,,2,0,0,False
Kepler-1750,5803.0,-0.11346136253735399,0.98,0.87,4.55,,0.5,3.175317526051046,3.3900752,1,15.5339,,1,1,1,False
Kepler-1913,6202.0,0.21366285514583264,1.113,1.11,4.395,0.0,,2.942652811693212,15.5761594,1,14.658,,1,0,0,False
HD 191939,5348.0,-0.18709,0.81,0.94,4.3,-0.15,8.7,1.7292368960365123,163.2826562,1,8.77476,G,6,1,1,False
Kepler-1815,5480.0,-0.14573220889583868,0.832,0.94,4.41,,13.5,3.002869869276211,11.8794487,1,15.3701,,1,0,0,False
Kepler-1732,5838.73,0.29575,1.05,1.37369,4.18348,0.095,,3.1103910340525167,7.8957719,1,14.7163,,1,0,0,False
Kepler-1694,4954.0,-0.50811,0.82,0.756284,4.59451,,,2.710395799979077,22.8514941,1,14.7519,,1,0,0,False
KOI-1599,5823.0,-0.011190459748062499,1.02,0.972,4.472,0.06,,3.0537082900329677,2.3766644,1,14.854,,2,0,0,False
Kepler-1819,6090.0,0.15093796216250027,1.173,1.071,4.447,0.21,,3.1345563915652686,7.4587073,1,15.3187,,1,0,0,False
K2-277,5680.0,-0.05061,0.974,0.973,4.452,0.078,4.9,2.0535509140108994,105.0691656,1,10.1214,,1,0,0,False
TOI-1518,9918.0,1.46168,2.537,1.82241,4.32109,,,2.35389316021559,8.9026839,1,8.89529,,1,0,0,False
TOI-813,5907.0,0.6139611932588622,1.32,1.94,3.86,0.1,3.73,2.420195122432189,4.6592741,1,10.2352,,1,0,0,False
WASP-186,6361.0,0.501626101769769,1.22,1.47,4.193,-0.08,3.1,2.4448470306405556,23.5522565,1,10.6509,F,1,0,0,False
TOI-532,3927.0,-1.09528,0.639,0.612,4.669,0.338,7.1,2.1304849410009443,44.6948479,1,13.6645,,1,0,0,False
